locationId,createdNew,request_count
50230,2018-07-01,2
50230,2018-07-02,1
50230,2018-07-03,2
50230,2018-07-04,3
50230,2018-07-05,5
50230,2018-07-06,1
50230,2018-07-07,7
50240,2018-07-01,3
50240,2018-07-02,5
50240,2018-07-03,4
50240,2018-07-04,5
50240,2018-07-05,3
50240,2018-07-06,7
50240,2018-07-07,4
50261,2018-07-01,2
50261,2018-07-02,4
50261,2018-07-03,1
50261,2018-07-04,1
50261,2018-07-05,4
50261,2018-07-06,2
50263,2018-07-01,3
50263,2018-07-02,5
50263,2018-07-03,3
50263,2018-07-04,4
50263,2018-07-05,3
50263,2018-07-06,6
50263,2018-07-07,8
50266,2018-07-01,5
50266,2018-07-02,3
50266,2018-07-03,2
50266,2018-07-04,5
50266,2018-07-05,3
50266,2018-07-06,5
50266,2018-07-07,5
50267,2018-07-01,3
50267,2018-07-02,4
50267,2018-07-03,4
50267,2018-07-04,7
50267,2018-07-05,4
50267,2018-07-06,7
50267,2018-07-07,5
50268,2018-07-01,4
50268,2018-07-02,4
50268,2018-07-03,4
50268,2018-07-04,3
50268,2018-07-05,5
50268,2018-07-06,2
50268,2018-07-07,1
50269,2018-07-01,7
50269,2018-07-02,7
50269,2018-07-03,6
50269,2018-07-04,10
50269,2018-07-05,6
50269,2018-07-06,4
50269,2018-07-07,8
50338,2018-07-01,1
50338,2018-07-02,5
50338,2018-07-03,2
50338,2018-07-04,2
50338,2018-07-05,4
50349,2018-07-01,3
50349,2018-07-02,7
50349,2018-07-03,11
50349,2018-07-04,4
50349,2018-07-05,10
50349,2018-07-06,13
50349,2018-07-07,5
50675,2018-07-02,1
50675,2018-07-04,2
50675,2018-07-05,1
50675,2018-07-06,1
50675,2018-07-07,1
50692,2018-07-01,4
50692,2018-07-02,4
50692,2018-07-03,9
50692,2018-07-04,5
50692,2018-07-05,8
50692,2018-07-06,13
50692,2018-07-07,7
50840,2018-07-07,1
50841,2018-07-01,4
50841,2018-07-02,7
50841,2018-07-03,1
50841,2018-07-04,4
50841,2018-07-05,3
50841,2018-07-06,4
50841,2018-07-07,4
50909,2018-07-01,5
50909,2018-07-02,7
50909,2018-07-03,3
50909,2018-07-04,3
50909,2018-07-05,3
50909,2018-07-06,4
50909,2018-07-07,5
50911,2018-07-01,27
50911,2018-07-02,23
50911,2018-07-03,39
50911,2018-07-04,26
50911,2018-07-05,22
50911,2018-07-06,43
50911,2018-07-07,20
51087,2018-07-01,12
51087,2018-07-02,7
51087,2018-07-03,7
51087,2018-07-04,5
51087,2018-07-05,2
51087,2018-07-06,5
51087,2018-07-07,5
51198,2018-07-01,5
51198,2018-07-02,8
51198,2018-07-03,1
51198,2018-07-04,7
51198,2018-07-05,4
51198,2018-07-06,1
51198,2018-07-07,3
51199,2018-07-01,4
51199,2018-07-02,6
51199,2018-07-03,2
51199,2018-07-04,6
51199,2018-07-05,10
51199,2018-07-06,3
51199,2018-07-07,8
51200,2018-07-01,4
51200,2018-07-02,3
51200,2018-07-03,2
51200,2018-07-04,6
51200,2018-07-05,6
51200,2018-07-06,3
51200,2018-07-07,6
